Scraped At (UTC),2026-08-17 03:42:50 UTC
Source URL,https://pmfby.gov.in/adminStatistics/dashboard

Table 1
Year,2018,2019,2020,2021,2022,2023,2024,2025,2026
Season: Kharif
Notification
States/UTs,20,20,19,20,21,21,22,24,24
Districts,472,462,390,433,440,465,505,517,543
Insurance Units,"1,47,520","1,54,485","1,27,100","1,27,134","1,47,335","1,49,072","1,49,479","1,47,947","1,36,328"
Agriculture Crops,35,37,36,49,54,53,40,48,43
Horticulture Crops,51,48,46,57,59,69,71,68,62
Coverage
Farmers,"2,14,81,975","1,93,61,979","1,68,04,816","1,57,46,568","1,91,20,847","2,40,67,156","2,47,25,974","2,01,96,626","1,67,27,041"
Applications (Loanee Farmers),"2,01,69,889","2,26,22,154","2,69,86,330","3,77,63,908","4,62,62,477","5,27,20,960","6,01,86,831","6,53,71,587","5,27,07,038"
Applications (Non-Loanee Farmers),"1,10,61,427","1,63,37,637","1,40,42,479","1,26,10,984","2,29,96,259","3,56,90,265","3,60,58,069","1,94,09,160","1,65,50,564"
Applications (PMFBY),"2,99,92,862","3,73,47,465","4,06,93,200","4,97,77,775","6,85,11,736","8,62,26,209","9,45,44,363","8,36,60,328","6,79,20,402"
Applications (RWBCIS),"12,38,454","16,12,326","3,35,609","5,97,117","7,47,000","21,85,016","17,00,537","11,20,419","13,37,200"
Area Insured PMFBY (Thousand Hect.),"27,081.77","28,402.44","26,993.96","24,760.08","26,343.51","31,473.06","31,024.22","24,968.38","20,650.26"
Area Insured RWBCIS (Thousand Hect.),"1,530.97","1,472.78",224.05,323.73,367.43,"1,113.77",928.23,598.66,746.02
Demographic Distribution
Male (%),84.73,83.87,85.38,85.88,84.59,83.89,83.35,84.92,85.08
Female (%),15.19,16.06,14.55,14.03,15.32,15.9,16.57,14.99,14.85
Others (%),0.08,0.07,0.07,0.09,0.09,0.21,0.08,0.08,0.07
SC (%),6.72,6.43,6.86,6.93,6.24,6.33,5.99,6.28,6.27
ST (%),6.61,8.03,8.6,9.39,8.54,8.82,8.7,9.09,9.84
GEN (%),45.17,39.12,35.8,31.41,28.99,34.54,36.43,36.56,34.92
OBC (%),41.5,46.42,48.75,52.27,56.23,50.32,48.89,48.06,48.97
Marginal Farmers (%),17.82,16.44,16.45,17.51,14.55,14.27,15.44,18.91,17.9
Small Farmers (%),65.42,67.68,67.68,63.33,67.2,70.11,69.24,63.62,65.64
Others (%),16.76,15.88,15.87,19.16,18.26,15.62,15.32,17.46,16.45
Premium & Sum Insured
Farmers Premium (In Lac.),"2,54,890","2,44,562","2,43,038","2,32,222","2,54,622","1,80,318","1,50,622","2,22,747","1,90,941"
State/UTs Premium (In Lac.),"7,22,360","8,46,985","8,38,561","8,54,141","9,27,478","10,52,482","9,87,672","5,55,743","2,92,271"
GoI Premium (In Lac.),"6,96,526","7,79,272","8,01,150","7,93,677","8,20,257","8,08,174","7,52,071","5,04,945","2,74,449"
Gross Premium (In Lac.),"16,73,776","18,70,819","18,82,749","18,80,040","20,02,357","20,40,974","18,90,365","12,83,435","7,57,661"
Sum Insured (In Lac.),"1,20,85,681","1,24,56,455","1,09,32,633","1,01,74,204","1,27,09,986","1,68,33,757","1,69,57,268","1,35,72,769","1,27,72,990"
Claim Paid (In Lac.)
Prevented Sowing,"28,684","50,212","4,038","11,237","9,576","1,401","5,483","8,324",0
Localized,"12,732","5,226","53,234","2,66,212","2,53,946","1,80,693","3,32,961","39,103",0
Mid-term,"5,453","4,549","5,579","74,451","74,214","2,58,346","76,702","21,687",0
Yield Based,"12,84,088","17,97,719","12,56,601","9,79,911","6,81,792","8,16,485","3,24,096","6,95,063",0
Post Harvest,"2,283","26,626","14,505","10,129","59,199","34,898","93,289","30,243",0
WBCIS,"1,87,148","1,52,523","17,700","18,988","27,533","35,959","42,551","11,731",0
Total Claim Paid,"15,20,388","20,36,855","13,51,657","13,60,928","11,06,260","13,27,782","8,75,082","8,06,151",0
Farmer Benefit PMFBY(Actual),"72,84,039","91,60,218","62,17,952","77,22,651","69,34,277","90,87,738","65,14,508","47,47,397",0
Farmer Benefit WBCIS(Actual),"11,54,647","10,26,259","1,06,735","1,56,272","1,50,378","3,61,089","5,89,628","96,073",0
Total Farmer Benefit(Actual),"84,38,686","1,01,86,477","63,24,687","78,78,923","70,84,655","94,48,827","71,04,136","48,43,470",0

Table 2
Year,2018,2019,2020,2021,2022,2023,2024,2025,2026
Season: Rabi
Notification
States/UTs,21,19,18,20,22,21,21,21,0
Districts,482,444,389,436,468,485,485,464,0
Insurance Units,"1,34,846","1,26,784","1,12,322","1,16,290","1,29,944","1,25,258","1,25,655","1,22,346",0
Agriculture Crops,39,38,36,52,60,59,46,41,0
Horticulture Crops,74,82,89,95,98,105,103,96,0
Coverage
Farmers,"1,45,98,307","96,20,618","99,11,506","98,49,472","1,10,08,826","1,34,11,185","1,17,58,520","1,00,65,114",0
Applications (Loanee Farmers),"1,32,65,093","1,30,33,587","1,23,06,769","2,40,40,228","3,41,83,199","3,57,30,271","3,90,92,418","4,28,23,341",0
Applications (Non-Loanee Farmers),"92,38,855","51,95,175","73,99,286","85,74,691","86,27,259","1,99,24,415","1,38,38,682","88,47,321",0
Applications (PMFBY),"2,17,76,853","1,75,02,784","1,93,14,240","3,22,24,172","4,22,73,814","5,47,21,352","5,22,74,271","5,07,64,534",0
Applications (RWBCIS),"7,27,095","7,25,978","3,91,815","3,90,747","5,36,644","9,33,334","6,56,829","9,06,128",0
Area Insured PMFBY (Thousand Hect.),"19,363.14","15,261.69","15,486.72","14,961.02","15,086.47","18,371.29","16,208.12","12,945.87",0.00
Area Insured RWBCIS (Thousand Hect.),"7,942.27","7,887.35","6,909.59","6,616.55","8,270.55","9,900.60","11,723.42","15,149.72",0.00
Demographic Distribution
Male (%),85.05,84.51,82.84,84.94,84.08,83.55,84.41,85.5,0
Female (%),14.88,15.4,17.08,14.97,15.83,16.38,15.51,14.42,0
Others (%),0.07,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0
SC (%),7.09,6.48,6.98,6.95,6.77,5.8,5.4,5.86,0
ST (%),3.08,4.16,4.02,5.94,5.37,4.36,4.24,5.2,0
GEN (%),52.08,43.19,41.52,32.7,32.86,42.77,44.03,43.35,0
OBC (%),37.75,46.16,47.48,54.42,55,47.07,46.33,45.6,0
Marginal Farmers (%),19.26,18.37,17.45,18.04,15.73,15.8,18.08,19.71,0
Small Farmers (%),62.93,60.89,64.13,60.94,64.39,66.77,63.2,61.01,0
Others (%),17.81,20.73,18.41,21.02,19.89,17.43,18.72,19.28,0
Premium & Sum Insured
Farmers Premium (In Lac.),"1,58,872","1,31,846","1,40,892","1,38,949","1,40,973","1,41,890","1,42,332","1,44,078",0
State/UTs Premium (In Lac.),"3,24,428","3,21,699","5,14,091","5,40,835","5,39,510","4,21,963","3,41,143","2,39,621",0
GoI Premium (In Lac.),"3,14,388","3,15,432","4,25,915","4,31,684","4,20,522","3,61,350","3,03,354","2,45,358",0
Gross Premium (In Lac.),"7,97,688","7,68,977","10,80,898","11,11,468","11,01,005","9,25,203","7,86,829","6,29,057",0
Sum Insured (In Lac.),"90,79,663","70,94,178","82,70,057","78,39,648","86,64,326","1,06,74,110","97,59,274","83,45,655",0
Claim Paid (In Lac.)
Prevented Sowing,"41,695",0,0,0,"5,525","5,069",0,0,0
Localized,"3,513","21,795","12,551","17,226","35,554","45,078","21,837","15,330",0
Mid-term,"7,959","4,678",0,0,135,"1,048",56,112,0
Yield Based,"6,80,806","4,07,957","5,38,451","4,28,661","4,56,357","3,03,989","2,38,170","29,529",0
Post Harvest,200,71,871,"1,735","20,407","23,297","15,677","8,830",0
WBCIS,"1,04,373","1,16,036","48,621","93,971","1,26,738","1,43,997","1,31,780","21,621",0
Total Claim Paid,"8,38,546","5,50,537","6,00,494","5,41,593","6,44,716","5,22,478","4,07,520","75,422",0
Farmer Benefit PMFBY(Actual),"46,00,735","19,80,158","27,41,654","28,31,739","26,07,593","25,76,930","14,43,288","4,12,123",0
Farmer Benefit WBCIS(Actual),"4,83,074","4,38,424","2,06,872","2,03,215","2,85,867","2,77,686","2,03,890","38,568",0
Total Farmer Benefit(Actual),"50,83,809","24,18,582","29,48,526","30,34,954","28,93,460","28,54,616","16,47,178","4,50,691",0

